KODS,TIPS_CD,NOSAUKUMS,VKUR_CD,VKUR_TIPS,APSTIPR,APST_PAK,STATUSS,SORT_NOS,DAT_SAK,DAT_MOD,DAT_BEIG,ATRIB,STD
"100480957","107","1","100186126","106","Y","251","ERR","0001","2014.04.09","2021.06.30","","","1, Saurieši, Stopiņu pag., Ropažu nov."
"100438531","107","1. Atpūtas iela","100145451","106","Y","252","EKS","0001. Atpūtas iela","2004.01.05","2021.06.30","","","1. Atpūtas iela, Ječi, Dunikas pag., Dienvidkurzemes nov."
"100446836","107","1. Austrumu iela","100147961","106","Y","252","EKS","0001. Austrumu iela","2004.10.12","2015.12.11","","","1. Austrumu iela, Vārzas, Skultes pag., Limbažu nov."
"100438603","107","1. Bērzu iela","100145451","106","Y","252","EKS","0001. Bērzu iela","2004.01.05","2021.06.30","","","1. Bērzu iela, Ječi, Dunikas pag., Dienvidkurzemes nov."
"100446764","107","1. Centra iela","100147961","106","Y","252","EKS","0001. Centra iela","2004.10.12","2018.02.02","","","1. Centra iela, Vārzas, Skultes pag., Limbažu nov."
"100438853","107","1. Ceriņu iela","100145451","106","Y","252","EKS","0001. Ceriņu iela","2004.01.05","2021.06.30","","","1. Ceriņu iela, Ječi, Dunikas pag., Dienvidkurzemes nov."
"100439316","107","1. Ceļmalas iela","100145451","106","Y","252","DEL","0001. Ceļmalas iela","2004.01.05","2021.06.30","2012.03.22","","1. Ceļmalas iela, Ječi, Dunikas pag., Dienvidkurzemes nov."
"100446844","107","1. Dienvidu iela","100147961","106","Y","252","EKS","0001. Dienvidu iela","2004.10.12","2015.12.11","","","1. Dienvidu iela, Vārzas, Skultes pag., Limbažu nov."
"100460412","107","1. Dāliju iela","100003011","104","Y","252","EKS","0001. Dāliju iela","2006.10.12","2007.08.27","","","1. Dāliju iela, Daugavpils"
"100430935","107","1. Dārziņu ceļš","100186560","106","Y","252","EKS","0001. Dārziņu ceļš","2002.03.28","2009.06.30","","","1. Dārziņu ceļš, Kalni, Nīgrandes pag., Saldus nov."
"100430855","107","1. Dārzu ceļš","100186585","106","Y","252","EKS","0001. Dārzu ceļš","2002.03.28","2009.06.30","","","1. Dārzu ceļš, Nīgrande, Nīgrandes pag., Saldus nov."
"100439437","107","1. Dīķu iela","100145451","106","Y","252","EKS","0001. Dīķu iela","2004.01.05","2021.06.30","","","1. Dīķu iela, Ječi, Dunikas pag., Dienvidkurzemes nov."
"100470021","107","1. Ezermalas līnija","100003124","104","Y","252","EKS","0001. Ezermalas līnija","2009.11.12","2009.11.27","","","1. Ezermalas līnija, Balvi, Balvu nov."
"100438410","107","1. Klusā iela","100145451","106","Y","252","EKS","0001. Klusā iela","2004.01.05","2021.06.30","","","1. Klusā iela, Ječi, Dunikas pag., Dienvidkurzemes nov."
"100438636","107","1. Krūmu iela","100145451","106","Y","252","EKS","0001. Krūmu iela","2004.01.05","2021.06.30","","","1. Krūmu iela, Ječi, Dunikas pag., Dienvidkurzemes nov."
"100460478","107","1. Kumelīšu iela","100003011","104","Y","252","EKS","0001. Kumelīšu iela","2006.10.12","2007.08.27","","","1. Kumelīšu iela, Daugavpils"
